Date,Product Category,Product Name,Region,Units Sold,Customer Segment,Customer Type,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Competitor Influence,Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Product Launch Date,Competitor Product,Market Share (%),Sales Revenue (USD)
2003-03-03,AI,RTX 3080,Middle East,3880.0,AI Researchers,Business,1.7,170745.52,19,High,1.47,43.0,0.21,59.0,2023-02-20,Google TPU,45.84,309287149.32
2001-08-22,Gaming,Tesla V100,South America,1157.0,Cloud Providers,Business,3.0,161305.28,6,Medium,4.04,10.0,0.26,79.0,2021-06-13,AMD Radeon RX 6800,61.52,283767012.62
2019-06-20,OEM,Tesla V100,Middle East,461.0,Educational Institutions,Business,1.2,112554.21,13,Medium,3.61,53.0,0.25,81.0,2019-02-11,AMD Radeon RX 7900,39.51,7474867305.57
2002-05-20,OEM,Quadro P2200,Europe,267.0,Gamers,Individual,1.3,118895.43,25,Medium,2.56,45.0,0.12,63.0,2016-05-10,Google TPU,37.24,291563904.49
2007-08-02,OEM,Tesla T4,APAC,2730.0,Cloud Providers,Individual,2.9,63163.52,20,Medium,0.75,62.0,0.23,80.0,2011-10-01,Intel Xeon,34.29,296404418.17
2020-03-18,Gaming,RTX 4090,South America,379.0,AI Researchers,Business,1.6,146031.64,16,High,3.82,79.0,0.24,80.0,1993-05-21,Intel Xeon,60.89,2052639517.33
1994-11-04,Data Center,RTX 4090,Europe,3445.0,Educational Institutions,Business,3.2,166291.4,2,Medium,1.61,22.0,0.12,81.0,2021-12-15,Intel Xeon,36.5,1389568282.21
2008-08-21,AI,Tesla V100,North America,4855.0,Cloud Providers,Business,1.7,36222.18,23,Medium,1.22,11.0,0.28,82.0,2010-10-24,Google TPU,57.84,306909959.54
2022-08-02,AI,Tesla V100,Middle East,249.0,Gamers,Individual,4.1,94551.42,22,Medium,4.03,80.0,0.21,77.0,1997-11-11,Google TPU,50.13,217646373281.5
2020-12-20,AI,Tesla T4,Middle East,1469.0,Educational Institutions,Individual,3.0,63792.13,4,Medium,1.02,78.0,0.27,87.0,2012-12-08,AMD Radeon RX 6800,64.92,2798389021.11
1998-04-10,AI,RTX 3080,APAC,2313.0,Gamers,Business,1.1,160416.97,0,Low,4.81,19.0,0.05,89.0,2024-05-27,AMD Radeon RX 7900,59.36,319479914.49
2022-07-24,AI,Tesla T4,Africa,4155.0,Educational Institutions,Individual,4.8,172678.92,24,High,3.32,18.0,0.27,70.0,2010-02-07,AMD Radeon RX 6800,36.54,193197279843.06
2008-04-30,OEM,RTX 4090,Middle East,1826.0,Gamers,Business,2.5,123481.91,22,Medium,4.12,38.0,0.12,85.0,1999-10-31,Google TPU,58.48,281073967.9
2009-06-26,OEM,Tesla V100,Middle East,3654.0,Gamers,Business,2.2,137973.23,12,Low,1.35,76.0,0.25,67.0,1996-02-02,Google TPU,64.77,316296919.98
1993-06-18,Gaming,RTX 3080,South America,2267.0,Educational Institutions,Business,1.8,164897.68,17,Medium,4.85,15.0,0.22,58.0,2010-04-21,Google TPU,54.1,1772656549.41
2009-02-04,AI,RTX 3080,Africa,2584.0,Educational Institutions,Business,3.0,169137.84,6,Low,1.78,79.0,0.08,70.0,1995-02-18,Google TPU,55.13,286765255.36
2003-06-21,Gaming,Quadro P2200,North America,1217.0,Cloud Providers,Business,2.8,70829.65,1,Low,2.33,71.0,0.06,57.0,2007-10-15,Google TPU,64.14,310464362.38
1994-07-27,Data Center,RTX 4090,Africa,1498.0,Gamers,Business,2.9,148971.81,24,Medium,1.83,27.0,0.11,90.0,2015-09-28,AMD Radeon RX 6800,35.44,1083801763.13
2021-01-11,AI,Quadro P2200,Africa,2504.0,Educational Institutions,Business,1.1,49194.43,1,Medium,1.06,48.0,0.13,55.0,2000-05-21,AMD Radeon RX 7900,60.86,49909723935.01
1997-06-27,AI,RTX 4090,Africa,1344.0,AI Researchers,Business,3.7,36830.81,6,High,2.81,16.0,0.06,54.0,2004-05-31,Intel Xeon,40.24,318971905.94
1994-08-12,Data Center,Tesla T4,Europe,4392.0,AI Researchers,Business,2.6,82540.69,7,Medium,4.87,35.0,0.06,67.0,2023-03-25,Intel Xeon,38.87,1087613129.24
1998-08-08,AI,Tesla V100,North America,4359.0,Cloud Providers,Business,3.1,93543.75,2,Medium,3.34,18.0,0.28,85.0,2020-07-30,AMD Radeon RX 6800,68.91,295675364.78
1995-11-22,Gaming,RTX 4090,North America,1552.0,Gamers,Business,2.1,11682.41,21,High,1.29,89.0,0.28,50.0,2018-05-22,AMD Radeon RX 7900,48.76,285907018.67
1993-07-03,OEM,Tesla V100,Middle East,3910.0,AI Researchers,Individual,2.1,193354.29,21,High,2.39,89.0,0.09,90.0,1996-06-01,Google TPU,58.03,1032418399.21
2021-07-08,Data Center,RTX 3080,South America,268.0,AI Researchers,Business,2.4,131547.69,11,Low,2.65,61.0,0.22,53.0,2000-11-17,Intel Xeon,64.08,61304300291.43
2011-04-18,OEM,Quadro P2200,North America,462.0,Educational Institutions,Business,1.6,28547.94,22,High,0.7,63.0,0.18,51.0,2018-07-30,AMD Radeon RX 7900,69.99,313282580.41
2018-10-24,Gaming,Tesla V100,APAC,1287.0,Cloud Providers,Business,1.2,150663.58,3,High,4.95,67.0,0.22,60.0,2019-10-10,Google TPU,61.51,1756585658.41
1997-12-29,Gaming,RTX 4090,Europe,1117.0,Educational Institutions,Individual,3.7,61289.58,20,High,3.56,33.0,0.27,75.0,1994-10-24,AMD Radeon RX 7900,53.39,305156529.95
2019-11-13,OEM,Tesla V100,APAC,407.0,Cloud Providers,Individual,3.4,57294.76,10,High,1.53,68.0,0.18,80.0,2009-11-24,AMD Radeon RX 6800,43.33,7426409254.61
2019-06-28,Data Center,Tesla V100,Africa,4876.0,Educational Institutions,Individual,2.5,107439.58,23,High,4.19,26.0,0.14,71.0,2000-12-06,AMD Radeon RX 7900,36.87,3056113667.73
2018-05-07,OEM,Tesla V100,Europe,1543.0,AI Researchers,Individual,3.7,28205.41,15,Low,2.31,76.0,0.19,51.0,2013-04-26,AMD Radeon RX 7900,47.11,1539679597.08
2024-07-07,Gaming,Quadro P2200,Middle East,1897.0,Cloud Providers,Individual,2.7,41881.12,13,Medium,0.55,13.0,0.28,61.0,2022-04-07,Intel Xeon,42.18,752501109942.41
2005-11-07,AI,Tesla V100,North America,806.0,AI Researchers,Individual,3.9,19932.45,10,High,2.5,75.0,0.13,69.0,1996-11-30,Google TPU,63.74,306312133.43
2015-01-25,Data Center,RTX 3080,Africa,422.0,Gamers,Individual,2.7,161750.68,0,High,1.92,73.0,0.21,76.0,2008-10-22,Google TPU,61.1,317645598.37
2022-02-22,Gaming,RTX 4090,North America,2414.0,Educational Institutions,Business,4.1,54320.16,15,Medium,4.34,29.0,0.12,62.0,2021-09-30,AMD Radeon RX 6800,46.37,243255216483.75
2022-02-07,OEM,Tesla V100,Africa,1326.0,AI Researchers,Individual,2.2,134417.99,7,High,2.6,33.0,0.18,69.0,2012-05-24,AMD Radeon RX 7900,69.55,193095198309.91
2023-03-11,Data Center,RTX 3080,South America,3619.0,Cloud Providers,Business,1.1,189196.14,1,High,1.06,16.0,0.19,51.0,2001-07-30,Google TPU,40.06,438965553902.28
2009-12-23,OEM,RTX 4090,APAC,3439.0,Cloud Providers,Individual,3.2,41355.03,25,Low,1.38,75.0,0.21,73.0,2012-04-19,Intel Xeon,31.31,285358154.57
2001-07-04,OEM,Quadro P2200,North America,1879.0,Cloud Providers,Business,2.0,194763.97,24,Low,0.97,59.0,0.23,89.0,1993-10-23,AMD Radeon RX 6800,43.05,313626149.1
2000-01-15,Gaming,Tesla V100,Middle East,1409.0,AI Researchers,Business,4.4,79089.18,9,Low,3.93,54.0,0.13,58.0,1996-03-31,Intel Xeon,66.42,288974344.27
2011-09-07,OEM,RTX 3080,North America,2234.0,Educational Institutions,Individual,2.7,10367.21,19,High,4.28,38.0,0.09,87.0,2000-03-10,Intel Xeon,43.38,294890361.28
1999-06-08,Gaming,RTX 3080,South America,1541.0,Educational Institutions,Business,2.6,176796.44,9,Medium,0.67,20.0,0.05,69.0,2013-01-18,AMD Radeon RX 7900,31.23,318383878.57
1995-11-20,OEM,RTX 4090,South America,4556.0,Gamers,Individual,2.5,138209.95,22,Medium,4.8,48.0,0.22,61.0,2011-08-06,AMD Radeon RX 6800,69.98,296790132.91
2005-01-28,Gaming,Tesla V100,North America,2267.0,AI Researchers,Business,1.8,183659.47,12,Medium,0.9,46.0,0.09,50.0,2021-09-01,Google TPU,52.32,315831976.76
1997-01-05,Data Center,Quadro P2200,Europe,2093.0,Educational Institutions,Individual,4.0,39548.99,4,High,2.71,83.0,0.27,83.0,2000-06-26,Google TPU,61.8,306442184.09
1995-10-01,Gaming,Quadro P2200,Europe,2721.0,Cloud Providers,Individual,3.5,36863.26,5,Low,0.72,38.0,0.18,58.0,2009-12-05,AMD Radeon RX 7900,43.1,311922906.19
2021-09-27,OEM,Tesla T4,Middle East,1608.0,Educational Institutions,Individual,3.2,18694.11,12,Medium,4.27,79.0,0.08,79.0,2004-12-09,AMD Radeon RX 6800,36.28,45439840471.61
2009-01-04,Gaming,Quadro P2200,Africa,939.0,AI Researchers,Individual,3.0,42471.67,18,Low,4.82,53.0,0.17,51.0,2003-06-19,AMD Radeon RX 6800,49.9,290532951.76
2005-01-25,AI,Quadro P2200,South America,1937.0,Gamers,Individual,3.3,50427.87,14,Low,1.4,38.0,0.19,88.0,1993-04-09,Intel Xeon,32.88,299247995.58
2005-08-30,Data Center,RTX 4090,APAC,4267.0,Gamers,Individual,4.4,50324.7,5,Low,2.45,55.0,0.13,57.0,2022-04-21,AMD Radeon RX 6800,49.78,312431546.39
1997-02-02,Gaming,Quadro P2200,Africa,1755.0,AI Researchers,Business,1.9,11253.92,1,Low,0.64,74.0,0.09,54.0,2008-06-08,AMD Radeon RX 6800,50.98,288492866.16
2004-04-02,OEM,Tesla V100,Africa,444.0,AI Researchers,Individual,4.0,139986.42,13,Low,2.42,64.0,0.1,86.0,2000-08-13,AMD Radeon RX 7900,49.58,311269940.36
1994-03-17,AI,Tesla T4,South America,2232.0,AI Researchers,Business,1.2,133338.53,8,Medium,2.61,16.0,0.25,65.0,2018-02-04,AMD Radeon RX 7900,40.75,1810544945.15
1996-04-29,Gaming,Quadro P2200,North America,3629.0,Gamers,Business,5.0,122180.51,0,Medium,2.48,41.0,0.27,59.0,1998-10-06,Intel Xeon,38.92,319850081.36
2010-04-21,Gaming,Tesla T4,South America,4327.0,Cloud Providers,Business,1.8,110723.07,0,Medium,1.68,44.0,0.12,72.0,1993-08-31,AMD Radeon RX 7900,60.97,309771592.27
1993-09-16,Data Center,RTX 3080,Africa,4780.0,Cloud Providers,Business,2.0,136851.21,2,Low,0.14,81.0,0.22,85.0,1997-06-28,Google TPU,49.36,1430715253.55
2002-04-07,AI,Tesla V100,APAC,2580.0,Gamers,Business,1.5,42557.75,0,Low,2.68,27.0,0.08,67.0,2014-03-21,Intel Xeon,32.86,307102147.24
1998-02-10,OEM,RTX 3080,Middle East,1733.0,Gamers,Individual,4.5,139580.61,6,High,3.81,58.0,0.28,78.0,2018-04-15,Intel Xeon,49.25,314059358.24
2001-06-25,AI,Tesla V100,Middle East,3139.0,Gamers,Individual,3.1,189899.76,16,Low,1.48,74.0,0.27,65.0,1999-06-05,AMD Radeon RX 7900,34.11,293795528.63
2016-04-08,Gaming,Quadro P2200,South America,2083.0,Gamers,Business,2.4,176056.01,8,Medium,4.46,62.0,0.06,87.0,2004-01-26,Google TPU,51.48,310752817.24
2022-08-02,AI,RTX 4090,Middle East,2786.0,Cloud Providers,Business,4.5,99778.0,11,High,0.1,58.0,0.07,75.0,2016-04-24,Google TPU,56.18,140231824905.81
2023-12-07,OEM,Quadro P2200,Europe,3897.0,Educational Institutions,Business,1.4,185752.68,5,Low,1.46,79.0,0.27,83.0,2002-10-06,AMD Radeon RX 7900,39.73,491217097344.92
2018-03-05,OEM,RTX 3080,North America,1344.0,Educational Institutions,Individual,2.3,67452.31,13,Low,4.47,20.0,0.11,77.0,2016-02-16,Google TPU,65.02,1589843707.29
1994-12-10,Data Center,Tesla V100,South America,3171.0,AI Researchers,Individual,2.5,40224.54,6,Medium,4.37,14.0,0.21,59.0,2020-04-30,AMD Radeon RX 7900,48.59,1629160472.28
2018-12-26,AI,Tesla T4,North America,2712.0,Cloud Providers,Business,3.4,103185.74,22,Low,2.69,44.0,0.2,62.0,2006-10-18,AMD Radeon RX 6800,43.12,1078206287.02
2022-05-01,Data Center,Tesla T4,Middle East,2828.0,Educational Institutions,Business,1.6,170997.42,1,High,1.09,22.0,0.21,58.0,1994-10-26,AMD Radeon RX 6800,68.11,261258677158.75
2001-01-24,Data Center,Tesla V100,Africa,1311.0,AI Researchers,Business,4.5,56911.34,9,High,2.98,60.0,0.22,59.0,2022-11-06,AMD Radeon RX 6800,47.85,307947952.7
2024-09-11,Gaming,Quadro P2200,South America,4299.0,Educational Institutions,Individual,4.7,99472.2,10,Low,1.58,84.0,0.26,56.0,2011-11-16,Google TPU,37.91,804120452475.18
2003-10-27,Gaming,Tesla V100,APAC,2252.0,AI Researchers,Business,2.2,123996.16,21,Medium,1.34,17.0,0.09,87.0,2004-02-10,AMD Radeon RX 6800,54.17,281449931.5
2014-11-11,OEM,RTX 4090,APAC,348.0,Educational Institutions,Business,4.0,39244.69,13,Medium,1.98,26.0,0.27,64.0,2007-12-22,AMD Radeon RX 7900,38.57,293753427.83
2008-01-14,AI,RTX 3080,South America,4060.0,Cloud Providers,Business,3.3,16487.93,12,Low,0.76,63.0,0.19,75.0,2015-04-21,Google TPU,37.41,306697368.84
2011-08-28,OEM,RTX 4090,APAC,4197.0,Gamers,Business,3.7,158691.51,1,Low,2.39,72.0,0.08,74.0,1995-11-22,Intel Xeon,42.99,318981685.0
2021-11-30,AI,RTX 3080,North America,3071.0,Gamers,Business,3.4,99242.28,23,Medium,2.12,31.0,0.13,52.0,2006-12-09,Google TPU,46.39,49974898238.25
1999-01-05,Data Center,Quadro P2200,APAC,4424.0,Cloud Providers,Individual,3.9,177023.23,5,Low,0.18,34.0,0.17,57.0,2020-12-21,AMD Radeon RX 6800,50.51,314805474.78
2016-09-15,Gaming,RTX 4090,North America,2584.0,Cloud Providers,Business,4.4,187110.65,12,Low,4.46,53.0,0.06,78.0,2020-09-06,AMD Radeon RX 6800,37.69,301685424.18
2011-03-27,Gaming,Tesla V100,APAC,2784.0,Cloud Providers,Individual,4.1,127283.82,13,Medium,3.34,46.0,0.18,56.0,2018-09-15,AMD Radeon RX 7900,50.38,285940657.46
2001-09-02,OEM,Tesla T4,South America,2225.0,Educational Institutions,Business,1.6,82571.67,2,Medium,4.67,42.0,0.28,65.0,2020-11-02,AMD Radeon RX 7900,38.98,298663351.13
2010-12-08,AI,Tesla V100,Europe,471.0,AI Researchers,Individual,2.5,130660.39,7,Low,2.68,14.0,0.08,83.0,2014-05-06,AMD Radeon RX 6800,31.98,305029239.44
2024-04-01,Data Center,Quadro P2200,Middle East,3334.0,Gamers,Business,2.2,77251.54,25,Low,1.51,12.0,0.1,81.0,2023-09-07,AMD Radeon RX 7900,66.13,1097010597577.0
2019-12-27,AI,RTX 4090,Africa,3603.0,Educational Institutions,Individual,4.3,22408.26,21,Low,4.23,25.0,0.23,58.0,2001-09-05,AMD Radeon RX 6800,35.54,4819073281.8
1995-11-12,Gaming,Tesla T4,Middle East,3151.0,Educational Institutions,Business,4.7,189261.36,12,Medium,4.41,43.0,0.28,68.0,2011-03-28,AMD Radeon RX 6800,43.43,287851116.88
2010-07-02,AI,RTX 3080,Middle East,809.0,Educational Institutions,Individual,3.2,169734.55,15,High,4.42,49.0,0.19,69.0,2000-01-25,AMD Radeon RX 7900,60.49,281922747.29
2013-02-23,Gaming,Quadro P2200,Middle East,3864.0,Cloud Providers,Individual,3.8,57575.6,13,Medium,4.66,57.0,0.21,75.0,2013-03-21,Google TPU,30.76,289975869.27
1999-02-15,Data Center,Tesla V100,Africa,4102.0,Educational Institutions,Business,2.0,76581.78,9,Low,2.47,82.0,0.27,79.0,2023-01-24,Google TPU,62.4,311981866.06
1999-04-15,Data Center,Tesla V100,Middle East,2155.0,AI Researchers,Business,3.4,27967.49,18,Medium,1.42,89.0,0.22,58.0,2013-11-27,Google TPU,61.32,317542745.25
2000-07-17,OEM,RTX 3080,North America,2942.0,Educational Institutions,Individual,4.4,155524.32,19,Low,1.44,85.0,0.21,87.0,2018-06-25,AMD Radeon RX 7900,42.19,282836557.57
1996-09-19,Gaming,RTX 4090,Middle East,1211.0,AI Researchers,Business,4.0,11235.41,2,High,4.96,86.0,0.25,61.0,1998-10-24,Intel Xeon,34.15,298720208.57
2006-04-06,OEM,Tesla T4,APAC,4258.0,Educational Institutions,Business,3.0,111115.57,4,Medium,4.38,13.0,0.25,54.0,2001-01-07,Google TPU,43.81,292208386.49
2003-07-10,AI,Tesla T4,South America,1442.0,AI Researchers,Individual,4.1,189650.67,21,High,2.32,21.0,0.3,72.0,2015-02-21,AMD Radeon RX 7900,64.15,306847443.09
2018-05-11,AI,RTX 4090,Africa,127.0,AI Researchers,Business,2.2,164031.51,12,Medium,2.5,83.0,0.12,63.0,2006-09-07,AMD Radeon RX 6800,65.28,1574208212.11
2022-02-17,Data Center,Tesla V100,North America,954.0,Educational Institutions,Business,2.6,96626.86,25,Medium,4.74,27.0,0.2,54.0,2013-04-12,AMD Radeon RX 7900,57.46,163995451650.99
2021-06-28,AI,RTX 3080,South America,3530.0,AI Researchers,Individual,3.2,121486.16,19,Medium,3.14,40.0,0.19,63.0,1995-07-11,Intel Xeon,64.59,67423023859.02
2010-12-20,OEM,Tesla T4,Europe,1067.0,Educational Institutions,Business,4.4,51589.71,19,Medium,1.98,73.0,0.14,59.0,2017-08-12,Google TPU,35.99,301527955.81
2016-12-04,OEM,Tesla V100,North America,4217.0,Cloud Providers,Business,2.7,157657.58,25,Medium,2.68,34.0,0.05,73.0,2018-06-21,AMD Radeon RX 7900,56.58,315870026.5
2021-05-16,OEM,Quadro P2200,Europe,158.0,Educational Institutions,Individual,1.9,112539.46,3,Medium,1.42,64.0,0.14,77.0,2008-04-20,Intel Xeon,56.19,40538374067.08
2020-01-19,Gaming,RTX 3080,Africa,4573.0,Gamers,Individual,1.6,12493.11,17,Low,3.73,39.0,0.1,66.0,2019-05-29,Google TPU,52.06,2620005855.81
2020-01-25,Data Center,RTX 3080,North America,3107.0,Gamers,Individual,1.8,144810.95,13,Low,2.67,38.0,0.12,55.0,2013-02-12,Google TPU,35.12,7320285491.94
2017-01-15,OEM,Quadro P2200,Europe,513.0,Educational Institutions,Business,3.8,32621.96,17,Low,2.34,65.0,0.26,55.0,2002-08-19,Intel Xeon,63.13,307446952.62
2022-11-08,OEM,Tesla V100,North America,3771.0,Cloud Providers,Business,4.4,180605.73,13,Low,0.1,40.0,0.14,56.0,2023-08-02,AMD Radeon RX 7900,43.09,274297944664.5
2003-03-10,Data Center,Tesla V100,North America,3726.0,Gamers,Individual,2.1,33840.44,4,High,1.02,56.0,0.07,71.0,2002-07-26,Intel Xeon,53.25,315686080.25
2019-03-25,AI,RTX 3080,Europe,4310.0,Cloud Providers,Business,2.6,64100.96,6,Medium,4.33,58.0,0.08,84.0,1995-06-09,AMD Radeon RX 6800,62.56,9740320642.51
1995-01-03,Data Center,RTX 4090,APAC,2500.0,AI Researchers,Business,3.3,36088.45,1,Low,4.45,79.0,0.16,75.0,1993-07-05,AMD Radeon RX 6800,67.5,297649185.96
2007-01-29,Gaming,Tesla T4,Africa,1567.0,Cloud Providers,Individual,1.1,103999.21,21,Medium,1.39,41.0,0.16,82.0,2007-08-08,AMD Radeon RX 7900,42.31,303874369.51
2022-08-01,OEM,RTX 4090,Middle East,4896.0,Educational Institutions,Individual,2.0,36544.31,9,Low,1.09,76.0,0.17,70.0,2007-12-18,AMD Radeon RX 6800,50.91,279748005588.51
2023-06-02,OEM,RTX 3080,North America,828.0,Educational Institutions,Individual,4.7,151890.58,9,High,3.34,31.0,0.29,70.0,2002-10-05,Google TPU,51.45,613463336513.69
2020-03-08,Gaming,RTX 3080,Africa,222.0,Cloud Providers,Business,1.3,175112.99,9,High,4.39,69.0,0.18,83.0,1999-09-21,AMD Radeon RX 6800,55.71,1806914829.89
2004-09-08,Data Center,RTX 3080,South America,1722.0,Gamers,Individual,4.9,45431.12,15,Medium,3.27,62.0,0.24,63.0,1998-02-02,AMD Radeon RX 6800,63.17,305688669.38
1998-04-22,AI,RTX 3080,South America,807.0,Gamers,Individual,4.0,124148.96,21,Medium,0.54,61.0,0.25,53.0,2024-09-19,AMD Radeon RX 6800,50.04,282717049.35
2006-10-28,AI,RTX 3080,Africa,4274.0,Educational Institutions,Business,4.3,145476.4,0,Medium,3.23,14.0,0.14,50.0,2000-12-20,AMD Radeon RX 7900,37.84,312252857.39
2023-11-05,AI,RTX 3080,Middle East,3096.0,Cloud Providers,Individual,1.6,17968.63,16,Medium,0.96,36.0,0.11,62.0,2014-09-05,Google TPU,45.53,450215724600.19
2009-11-29,AI,RTX 3080,APAC,3758.0,Cloud Providers,Individual,4.9,38688.25,18,High,3.63,77.0,0.09,59.0,2019-09-05,Intel Xeon,42.49,293448093.17
2011-09-21,Gaming,RTX 4090,Europe,468.0,Gamers,Individual,4.5,194924.47,8,Medium,1.45,26.0,0.25,70.0,1995-06-22,AMD Radeon RX 6800,59.16,293439289.74
2007-03-19,Data Center,Tesla T4,South America,3177.0,Educational Institutions,Business,4.3,93141.42,15,Medium,1.38,37.0,0.17,59.0,1995-03-30,AMD Radeon RX 6800,40.44,289822790.03
2013-11-05,OEM,RTX 4090,North America,2274.0,Gamers,Individual,3.8,133582.67,18,High,2.59,31.0,0.23,62.0,1995-09-21,AMD Radeon RX 6800,61.67,308022510.69
2023-03-05,OEM,RTX 4090,Africa,191.0,Cloud Providers,Business,2.2,81781.39,14,Medium,3.84,19.0,0.16,60.0,2003-09-26,Google TPU,61.37,290812324343.23
2019-10-16,OEM,Tesla T4,North America,2401.0,Gamers,Individual,1.0,83209.9,1,High,4.33,44.0,0.25,82.0,2011-10-18,Intel Xeon,36.31,8059816659.31
2018-02-25,Data Center,RTX 3080,Middle East,4264.0,Gamers,Individual,2.3,145989.04,0,High,4.94,82.0,0.19,61.0,2023-01-12,Google TPU,44.29,1331347531.41
1995-09-19,AI,RTX 4090,North America,702.0,Cloud Providers,Individual,4.9,23756.02,20,Medium,1.9,72.0,0.17,79.0,2022-12-03,Google TPU,40.11,287156040.73
2023-11-21,Gaming,Quadro P2200,APAC,3089.0,Cloud Providers,Individual,2.1,106338.99,24,High,3.78,12.0,0.12,54.0,1996-10-06,Google TPU,33.37,489092873461.21
1993-08-17,Data Center,Tesla T4,North America,2587.0,AI Researchers,Business,1.5,30678.22,3,High,2.11,30.0,0.2,89.0,2002-02-17,AMD Radeon RX 6800,66.73,1899912427.19
2013-09-20,OEM,Quadro P2200,North America,1189.0,Cloud Providers,Business,2.9,59697.94,2,Medium,2.14,66.0,0.08,74.0,2007-05-17,AMD Radeon RX 6800,34.78,295593284.33
2024-01-09,AI,Tesla T4,Africa,2350.0,Cloud Providers,Business,2.8,81520.84,1,Low,4.77,76.0,0.22,62.0,1998-09-22,Intel Xeon,38.93,843281834103.43
2000-10-04,Gaming,Tesla T4,Europe,2426.0,Cloud Providers,Individual,1.3,143002.75,11,Low,3.61,79.0,0.16,74.0,1996-11-06,Google TPU,59.81,280100767.48
2022-12-25,OEM,Tesla T4,Africa,161.0,Educational Institutions,Business,1.9,173110.62,6,Medium,2.92,33.0,0.08,69.0,1995-04-30,AMD Radeon RX 7900,57.75,237544132998.23
2008-03-08,Gaming,RTX 3080,Middle East,2042.0,Educational Institutions,Business,1.1,114409.21,10,Medium,2.28,40.0,0.06,75.0,2019-06-16,Intel Xeon,30.59,308107819.06
2018-08-26,Gaming,Tesla V100,Europe,2591.0,Cloud Providers,Individual,1.9,92052.03,6,High,1.94,12.0,0.1,54.0,1999-05-14,AMD Radeon RX 7900,50.9,1576379050.79
2004-09-07,Data Center,Tesla T4,North America,4195.0,Cloud Providers,Business,1.8,168820.02,2,Medium,2.37,30.0,0.15,53.0,2022-04-24,AMD Radeon RX 6800,44.99,303947030.82
2020-07-24,AI,Tesla T4,Africa,2145.0,Cloud Providers,Individual,2.6,33931.3,3,Low,2.83,86.0,0.26,74.0,2015-06-08,Intel Xeon,40.93,4098486404.69
2004-03-16,AI,Tesla V100,Europe,108.0,AI Researchers,Individual,1.3,88941.38,20,High,3.3,62.0,0.17,67.0,2013-08-14,AMD Radeon RX 7900,47.01,313748091.08
1996-06-10,AI,RTX 3080,Africa,4232.0,Gamers,Business,3.6,15477.03,3,High,3.34,45.0,0.15,80.0,2009-10-05,AMD Radeon RX 7900,60.41,282996295.41
2023-10-05,AI,RTX 4090,Middle East,189.0,Educational Institutions,Business,3.7,25694.51,18,High,3.4,67.0,0.12,55.0,1994-08-29,AMD Radeon RX 7900,69.09,353872093236.64
1993-08-19,Data Center,Quadro P2200,South America,821.0,Gamers,Individual,4.1,81848.57,13,Medium,0.79,36.0,0.19,54.0,2001-11-01,Intel Xeon,49.06,1606537594.18
2018-05-20,AI,Tesla V100,North America,1836.0,Cloud Providers,Business,4.8,27552.73,12,Low,0.99,18.0,0.15,67.0,2000-02-20,AMD Radeon RX 6800,53.59,1135225919.3
2021-12-12,AI,Tesla V100,Europe,4648.0,Educational Institutions,Individual,1.6,149809.2,7,High,2.17,30.0,0.14,66.0,2018-10-21,AMD Radeon RX 6800,36.43,33846018820.05
2012-07-10,OEM,Tesla V100,APAC,4474.0,Educational Institutions,Individual,2.8,53278.35,9,Medium,3.86,18.0,0.13,72.0,1993-10-07,Google TPU,63.99,287467679.82
2024-03-03,AI,Quadro P2200,Africa,1820.0,Gamers,Individual,3.2,108600.15,4,High,0.73,51.0,0.13,88.0,2019-03-05,Google TPU,59.64,1050608696192.59
2008-07-31,Gaming,Quadro P2200,South America,2663.0,Cloud Providers,Business,4.3,110431.61,19,Low,0.27,20.0,0.12,62.0,2009-06-22,AMD Radeon RX 6800,31.59,309869591.5
2003-05-09,Data Center,RTX 3080,APAC,538.0,Cloud Providers,Business,4.6,111852.16,1,Low,1.14,26.0,0.12,61.0,2009-01-20,AMD Radeon RX 6800,58.22,280485848.58
1997-10-15,Gaming,RTX 4090,South America,790.0,Gamers,Individual,4.9,28331.99,3,Low,2.18,56.0,0.07,58.0,2006-05-25,Google TPU,68.48,301385812.74
2011-08-19,AI,RTX 3080,North America,894.0,AI Researchers,Business,1.9,110419.16,19,Low,0.12,14.0,0.21,84.0,2014-04-18,AMD Radeon RX 6800,54.93,314002447.62
2000-03-12,OEM,Tesla V100,North America,1944.0,AI Researchers,Business,2.5,196360.4,19,Low,2.11,54.0,0.19,74.0,2007-06-07,AMD Radeon RX 6800,38.57,286182107.21
2021-06-02,Data Center,RTX 4090,APAC,3829.0,Educational Institutions,Individual,3.3,158733.0,22,High,3.75,85.0,0.22,63.0,2019-05-24,Intel Xeon,69.04,37560966598.96
1994-01-19,Gaming,Quadro P2200,North America,3852.0,Cloud Providers,Individual,2.9,153789.12,10,Medium,4.93,77.0,0.21,76.0,1995-09-14,Google TPU,33.18,1774777195.22
1998-05-10,Gaming,Tesla V100,APAC,762.0,Cloud Providers,Individual,2.9,174523.79,6,Medium,0.63,52.0,0.07,56.0,2016-03-06,Google TPU,56.71,291547460.72
2008-11-07,AI,RTX 4090,Europe,1719.0,Cloud Providers,Individual,2.6,196360.6,5,High,4.72,20.0,0.23,86.0,2008-06-19,Google TPU,39.71,306472737.5
